Tamaño de la matriz,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
10,10,1e-06,2.54557e-18,4e-06,6.29005,4e-06,2.51938e-05,1e-06,6.29005,1e-06,6.54655e-07
10,10,1e-06,3.79471e-19,4e-06,12.5905,4e-06,1.59755e-05,1e-06,12.5905,1e-06,4.08419e-06
10,10,1e-06,5.713e-19,4e-06,6.29175,4e-06,9.02742e-06,1e-06,6.29175,1e-06,9.02742e-06
10,10,1e-06,8.04066e-19,4e-06,3.14276,4e-06,2.02767e-05,1e-06,3.14276,1e-06,5.24326e-06
10,10,1e-06,2.31586e-19,4e-06,3.14561,4e-06,1.0094e-05,1e-06,3.14561,1e-06,2.67506e-06
10,10,1e-06,1.87789e-18,4e-06,22.0244,4e-06,1.79094e-05,1e-06,22.0244,1e-06,1.79094e-05
10,10,1e-06,1.25973e-18,4e-06,12.5823,4e-06,4.26834e-05,1e-06,12.5823,1e-06,4.26834e-05
10,10,1e-06,2.80429e-18,4e-06,9.43773,4e-06,7.82413e-05,0,9.43773,1e-06,7.82413e-05
10,10,1e-06,2.43403e-18,4e-06,15.7381,4e-06,2.98365e-05,0,15.7381,1e-06,2.98365e-05
10,10,1e-06,1.03426e-18,4e-06,18.8856,4e-06,8.99439e-06,1e-06,18.8856,1e-06,2.20668e-06
10,10,1e-06,1.89037e-18,4e-06,28.337,4e-06,4.08854e-05,0,28.337,1e-06,4.08854e-05
10,10,1e-06,8.00861e-19,4e-06,6.29208,4e-06,1.44471e-05,0,6.29208,1e-06,1.44471e-05
10,10,1e-06,3.22994e-19,4e-06,25.1834,4e-06,1.54967e-05,3.5e-05,25.1834,1e-06,1.54967e-05
10,10,1e-06,1.06368e-18,5e-06,18.8924,4e-06,8.12861e-06,1e-06,18.8924,1e-06,8.12861e-06
10,10,1e-06,1.76828e-18,4e-06,22.041,4e-06,7.15662e-06,0,22.041,1e-06,7.15662e-06
10,10,1e-06,9.4829e-19,4e-06,12.5884,4e-06,1.97861e-05,0,12.5884,1e-06,1.97861e-05
10,10,1e-06,1.92121e-18,4e-06,6.29217,4e-06,2.49884e-05,1e-06,6.29217,1e-06,8.63563e-07
10,10,1e-06,4.63964e-19,4e-06,3.14724,4e-06,1.47114e-05,0,3.14724,1e-06,6.99016e-07
10,10,1e-06,3.13483e-18,4e-06,3.14035,4e-06,1.11265e-05,0,3.14035,1e-06,3.34653e-06
10,10,1e-06,0,4e-06,18.8747,4e-06,1.89908e-05,1e-06,18.8747,1e-06,1.89908e-05
10,10,1e-06,1.46267e-18,4e-06,28.3332,4e-06,1.77873e-05,1e-06,28.3332,1e-06,1.77873e-05
10,10,1e-06,1.20853e-18,4e-06,6.28517,4e-06,2.74555e-05,1e-06,6.28517,1e-06,4.57939e-06
10,10,1e-06,0,4e-06,25.1877,4e-06,4.19385e-06,1e-06,25.1877,1e-06,4.19385e-06
10,10,1e-06,7.02643e-19,4e-06,25.185,4e-06,2.03341e-05,1e-06,25.185,1e-06,3.45398e-06
10,10,1e-06,2.12459e-18,4e-06,22.0187,4e-06,7.86243e-06,1e-06,22.0187,1e-06,7.86243e-06
10,10,1e-06,1.84314e-18,4e-06,15.7235,4e-06,5.22382e-06,1e-06,15.7235,1e-06,5.22382e-06
10,10,1e-06,3.90915e-19,4e-06,0.00138444,3e-06,4.95205e-06,1e-06,0.00138444,1e-06,2.29096e-10
10,10,1e-06,1.46267e-18,4e-06,0.00455914,3e-06,7.1298e-06,1e-06,0.00455914,1e-06,2.81107e-10
10,10,1e-06,2.14661e-18,4e-06,0.00651056,3e-06,2.06325e-05,1e-06,0.00651056,1e-06,6.00285e-08
10,10,1e-06,1.14869e-18,4e-06,28.3211,4e-06,0.000134392,1e-06,28.3211,1e-06,0.000134392
