Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,148.236,25,8e-06,2.47258e-14,2.8e-05,6.41463e+28,2.5e-05,1.0016e+87,1e-05,6.41463e+28,2.3e-05,1.0016e+87
16,53.0688,25,7e-06,5.49478e-15,1.9e-05,4.15747e+34,2.1e-05,8.23365e+124,1.3e-05,4.15747e+34,7e-06,8.23365e+124
16,168.939,25,4e-06,1.07986e-14,1.6e-05,2.85088e+18,1.2e-05,3.8912e+70,5e-06,2.85088e+18,5e-06,3.8912e+70
16,503.983,25,4e-06,8.79252e-14,1.6e-05,4.6672e+30,1.3e-05,4.45227e+104,5e-06,4.6672e+30,5e-06,4.45227e+104
16,74.4317,25,5e-06,2.53364e-14,1.7e-05,7.56029e+23,1.2e-05,1.4342e+86,5e-06,7.56029e+23,5e-06,1.4342e+86
16,67.5542,25,8e-06,1.10119e-14,2.8e-05,3.78418e+23,2.4e-05,1.16446e+82,1.3e-05,3.78418e+23,1.2e-05,1.16446e+82
16,129.213,25,5e-06,8.49871e-14,1.6e-05,3.40178e+24,1.2e-05,1.15267e+102,5e-06,3.40178e+24,5e-06,1.15267e+102
16,118.185,25,2e-05,2.66565e-14,2.5e-05,8.87057e+45,1.9e-05,inf,8e-06,8.87057e+45,8e-06,inf
16,50.5843,25,4e-06,1.19245e-14,1.6e-05,1.18667e+22,1.2e-05,3.24946e+84,5e-06,1.18667e+22,6e-06,3.24946e+84
16,62.7658,25,4e-06,9.29957e-15,3.1e-05,5.03318e+27,2.6e-05,2.85014e+90,5e-06,5.03318e+27,2.1e-05,2.85014e+90
16,249.518,25,7e-06,1.03321e-13,2.5e-05,5.03203e+28,1.4e-05,5.60893e+129,5e-06,5.03203e+28,5e-06,5.60893e+129
16,70.0016,25,4e-06,2.73883e-14,1.6e-05,4.39229e+24,1.3e-05,6.58623e+113,5e-06,4.39229e+24,5e-06,6.58623e+113
16,181.469,25,4e-06,0,1.5e-05,1.31874e+25,1.3e-05,1.04231e+96,5e-06,1.31874e+25,5e-06,1.04231e+96
16,286.616,25,7e-06,7.09088e-14,2.8e-05,2.20522e+22,1.6e-05,8.74671e+72,5e-06,2.20522e+22,5e-06,8.74671e+72
16,46.9142,25,8e-06,1.93248e-14,2.5e-05,1.20748e+23,2.2e-05,2.07163e+78,9e-06,1.20748e+23,3.4e-05,2.07163e+78
16,128.186,25,5e-06,9.83033e-15,3.1e-05,5.71982e+31,1.3e-05,2.7056e+125,1.9e-05,5.71982e+31,5e-06,2.7056e+125
16,45.8425,25,4e-06,3.14251e-14,1.6e-05,9.90436e+32,1.2e-05,1.81474e+130,5e-06,9.90436e+32,5e-06,1.81474e+130
16,82.1743,25,9e-06,4.64413e-14,1.8e-05,7.49401e+32,2.8e-05,4.36036e+132,5e-06,7.49401e+32,5e-06,4.36036e+132
16,59.5082,25,4e-06,4.10266e-15,1.6e-05,3.19865e+28,1.2e-05,4.50556e+97,5e-06,3.19865e+28,5e-06,4.50556e+97
16,2077.7,25,4e-06,2.60198e-13,1.5e-05,4.67809e+28,1.2e-05,2.6459e+115,5e-06,4.67809e+28,5e-06,2.6459e+115
16,346.514,25,4e-06,1.32629e-13,1.6e-05,2.11313e+21,1.2e-05,6.73809e+75,5e-06,2.11313e+21,6e-06,6.73809e+75
16,93.725,25,4e-06,2.90789e-14,1.6e-05,8.00781e+28,1.2e-05,4.88679e+83,5e-06,8.00781e+28,5e-06,4.88679e+83
16,116.317,25,4e-06,0,1.5e-05,3.95489e+24,1.2e-05,3.44337e+109,5e-06,3.95489e+24,5e-06,3.44337e+109
16,395.108,25,4e-06,0,1.6e-05,5.80331e+30,1.2e-05,1.61368e+119,5e-06,5.80331e+30,5e-06,1.61368e+119
16,727.486,25,4e-06,1.44999e-13,1.7e-05,7.5367e+48,1.2e-05,inf,5e-06,7.5367e+48,5e-06,inf
16,95.3747,25,5e-06,6.27055e-15,3.1e-05,1.37027e+17,1.5e-05,8.60934e+66,9e-06,1.37027e+17,1.3e-05,8.60934e+66
16,89.8378,25,4e-06,5.57787e-14,1.5e-05,5.36283e+29,1.3e-05,7.21046e+118,5e-06,5.36283e+29,5e-06,7.21046e+118
16,63.2725,25,2.1e-05,2.32207e-14,4e-05,7.81675e+24,2.2e-05,1.68211e+90,9e-06,7.81675e+24,1.2e-05,1.68211e+90
16,60.4064,25,4e-06,1.53268e-14,1.5e-05,3.49273e+30,1.3e-05,1.56374e+130,5e-06,3.49273e+30,5e-06,1.56374e+130
16,101.65,25,4e-06,4.64625e-14,1.5e-05,1.37136e+34,1.2e-05,3.37812e+95,5e-06,1.37136e+34,5e-06,3.37812e+95
16,1523.15,25,5e-06,2.3087e-13,1.6e-05,1.25493e+20,1.3e-05,6.80241e+62,5e-06,1.25493e+20,5e-06,6.80241e+62
16,65.4772,25,4e-06,4.66649e-14,1.7e-05,3.15698e+41,1.3e-05,inf,5e-06,3.15698e+41,5e-06,inf
16,102.831,25,7e-06,4.47967e-15,2.7e-05,8.49467e+21,2.4e-05,1.55802e+93,9e-06,8.49467e+21,2.2e-05,1.55802e+93
16,89.5099,25,4e-06,1.53708e-14,1.7e-05,4.64921e+33,1.3e-05,2.50689e+70,5e-06,4.64921e+33,5e-06,2.50689e+70
16,312.698,25,4e-06,1.08521e-13,1.6e-05,4.24757e+27,1.2e-05,3.69002e+67,5e-06,4.24757e+27,4e-06,3.69002e+67
16,701.216,25,4e-06,2.1695e-13,1.5e-05,9.4865e+27,1.2e-05,7.75579e+121,5e-06,9.4865e+27,4e-06,7.75579e+121
16,162.907,25,5e-06,1.04835e-13,1.5e-05,2.08194e+29,1.2e-05,2.10071e+74,5e-06,2.08194e+29,5e-06,2.10071e+74
16,55.3535,25,5e-06,1.36364e-14,7.3e-05,4.21917e+35,1.5e-05,8.38169e+141,1.9e-05,4.21917e+35,5e-06,8.38169e+141
16,105.871,25,2.2e-05,1.22733e-14,4.6e-05,4.63977e+25,1.3e-05,4.35167e+123,5e-06,4.63977e+25,5e-06,4.35167e+123
16,111.836,25,4e-06,2.20048e-14,3e-05,2.90053e+34,1.3e-05,2.52719e+125,5e-06,2.90053e+34,5e-06,2.52719e+125
16,149.171,25,5e-06,7.53226e-14,1.5e-05,8.79348e+37,1.3e-05,inf,5e-06,8.79348e+37,5e-06,inf
16,270.27,25,4e-06,1.50929e-14,1.6e-05,3.65966e+17,1.2e-05,2.29061e+61,5e-06,3.65966e+17,4e-06,2.29061e+61
16,85.2847,25,4e-06,0,1.6e-05,1.27879e+22,1.2e-05,2.46745e+77,5e-06,1.27879e+22,5e-06,2.46745e+77
16,83.0823,25,5e-06,3.91552e-14,1.6e-05,8.92693e+26,2.8e-05,2.59664e+124,1.9e-05,8.92693e+26,5e-06,2.59664e+124
16,71.3017,25,6e-06,2.68848e-14,6.2e-05,3.91984e+25,2.2e-05,8.22714e+87,9e-06,3.91984e+25,9e-06,8.22714e+87
16,732.233,25,4e-06,0,1.6e-05,3.05542e+21,1.2e-05,4.60868e+62,5e-06,3.05542e+21,5e-06,4.60868e+62
16,77.4919,25,4e-06,4.3157e-15,1.5e-05,6.79077e+20,1.3e-05,2.36945e+71,5e-06,6.79077e+20,5e-06,2.36945e+71
16,383.5,25,3e-06,0,1.5e-05,1.37417e+33,1.2e-05,1.93458e+110,5e-06,1.37417e+33,4e-06,1.93458e+110
16,400.86,25,4e-06,6.52569e-14,1.5e-05,1.82763e+34,1.3e-05,1.4518e+125,5e-06,1.82763e+34,5e-06,1.4518e+125
16,122.239,25,5e-06,1.30107e-13,1.6e-05,2.44368e+26,1.2e-05,9.25443e+107,5e-06,2.44368e+26,5e-06,9.25443e+107
